Instance,SD-TOM,SD,VAM
572,4819557,4860692,4811052
573,4825441,4847576,4761447
574,4778650,4770172,4735921
575,4792372,4817463,4761730
576,4650690,4664545,4660046
577,4820440,4854531,4903294
578,4968346,5015230,4926415
579,4855439,4854408,4870296
580,4812180,4831369,4746625
581,3299781,3570686,3758103
582,3175713,3447802,4086472
583,3291355,3559736,3947454
584,3176596,3598483,3955216
585,3323190,3647583,3685258
586,3047082,3481724,3931010
587,3382983,3515679,3756325
588,3380801,3624172,3824839
589,3173145,3518430,4039970
590,3378426,3711725,3966027
591,1386827,1535128,1078749
592,1252927,1401525,804573
593,1343842,1728686,1015726
594,1274863,1171758,967609
595,1614547,1602748,1050432
596,1201417,1763955,888630
597,1511843,1615536,902959
598,1269297,1580863,907654
599,1357795,1439292,889218
600,1404151,1401281,943993
601,4891673,4891673,4874449
602,4945934,4945934,4951687
603,4983359,4983359,4983359
604,4867407,4867407,4889614
605,5084807,5084807,5061694
606,4955206,4955206,4972247
607,4907977,4907977,4903372
608,4882195,4878830,4888652
609,4933370,4933370,4942580
610,5066798,5063877,5094535
611,4882277,4983217,4999746
612,4726568,4851164,4842730
613,5034817,5127032,5162528
614,4906847,4942191,4933664
615,4827981,4845966,4950252
616,4908024,5045377,5044541
617,4912568,5029441,5011909
618,4905931,4949804,5016025
619,4882853,4916687,4871423
620,4740523,4832509,4851390
621,3278965,3550820,4425335
622,3249052,3374144,4122907
623,3396985,3518097,4435521
624,3219280,3507343,4109063
625,3284356,3471841,4541805
626,3398383,3640925,4266019
627,3257124,3531992,4113239
628,3217267,3310360,4277011
629,3507630,3844152,4363432
630,3246361,3519641,4233651
631,1386498,1703024,912874
632,1279511,1600472,954725
633,1219599,1392745,917301
634,1348407,1531816,916311
635,1294763,1491629,900749
636,1330623,1699411,1089536
637,1470215,1978755,897884
638,1611211,1725779,987688
639,1482809,1576011,946358
640,1283649,1423808,939261
,1975294.163,2021395.297,1949033.498
