Instance,KSAM!,KSAM2,Minimum,,,
549,3346311,3371781,3346311,,,
550,3497115,3418810,3418810,,,
551,1819493,1747697,1747697,,,
552,1890149,1850316,1850316,,,
553,1471242,1465690,1465690,,,
554,2080121,2104794,2080121,,,
555,2193029,2093509,2093509,,,
556,2041393,1955476,1955476,,,
557,1905141,1874999,1874999,,,
558,1660307,1647057,1647057,,,
559,1941960,1968966,1941960,,,
560,1974848,1909949,1909949,,,
561,5040178,5040364,5040178,,,
562,5022789,5024786,5022789,,,
563,4995362,4994428,4994428,,,
564,4907524,4905655,4905655,,,
565,4867209,4868058,4867209,,,
566,5031301,5030361,5030361,,,
567,5041513,5041719,5041513,,,
568,5027766,5027667,5027667,,,
569,4992873,4993810,4992873,,,
570,5004163,5004469,5004163,,,
571,4925566,4930652,4925566,,,
572,4933970,4929323,4929323,,,
573,4901456,4902429,4901456,,,
574,4822202,4838395,4822202,,,
575,4834053,4846691,4834053,,,
576,4659274,4676922,4659274,,,
577,5038808,5025492,5025492,,,
578,5109729,5100955,5100955,,,
579,5020324,5016944,5016944,,,
580,4935543,4937280,4935543,,,
581,4059218,3957100,3957100,,,
582,4386046,4382757,4382757,,,
583,4264858,4105278,4105278,,,
584,4006789,4064113,4006789,,,
585,4293031,4301752,4293031,,,
586,3635343,3710360,3635343,,,
587,4171705,4201768,4171705,,,
588,4136519,4123068,4123068,,,
589,4002679,3966505,3966505,,,
590,4221032,4233104,4221032,,,
591,3085146,2897889,2897889,,,
592,3340925,3137660,3137660,,,
593,3497508,3329227,3329227,,,
594,3051771,3012825,3012825,,,
595,3667116,3779161,3667116,,,
596,3840603,3698889,3698889,,,
597,3514124,3385509,3385509,,,
598,2648504,2588711,2588711,,,
599,3350298,3291260,3291260,,,
600,3482684,3554585,3482684,,,
601,4895919,4895563,4895563,,,
602,4951687,4951687,4951687,,,
603,4983359,4983359,4983359,,,
604,4889614,4889614,4889614,,,
605,5079109,5080741,5079109,,,
606,4972247,4972247,4972247,,,
607,4918647,4918632,4918632,,,
608,4888652,4888652,4888652,,,
609,4958964,4958754,4958754,,,
610,5094535,5094535,5094535,,,
611,4977800,4976975,4976975,,,
612,4867638,4875627,4867638,,,
613,5154020,5154020,5154020,,,
614,5063864,5069548,5063864,,,
615,4950252,4950252,4950252,,,
616,5044529,5044937,5044529,,,
617,5051964,5049780,5049780,,,
618,5016025,5016025,5016025,,,
619,4942134,4938856,4938856,,,
620,4820380,4820380,4820380,,,
621,4958030,4958030,4958030,,,
622,5062563,5062563,5062563,,,
623,4931422,4880816,4880816,,,
624,4474673,4655097,4474673,,,
625,4763083,4754706,4754706,,,
626,4943815,4943815,4943815,,,
627,4828127,4828127,4828127,,,
628,5010837,5010837,5010837,,,
629,4819181,4878036,4819181,,,
630,4941070,4941070,4941070,,,
631,5395890,5395890,5395890,,,
632,4861952,4861952,4861952,,,
633,5489716,5489716,5489716,,,
634,5024100,5024100,5024100,,,
635,5114222,5114222,5114222,,,
636,4171105,4208249,4171105,,,
637,4190937,4179233,4179233,,,
638,4471668,4458888,4458888,,,
639,4537348,4537348,4537348,,,
640,4103508,4215088,4103508,,,
,2266359.598,2260090.638,2252338.523,,,
