Instance,Costs,Costs,Minimum
454,3004530,3218106,3004530
455,2930133,3155346,2930133
456,2967909,3175578,2967909
457,2948961,3218330,2948961
458,2883947,3101558,2883947
459,3068252,3335293,3068252
460,3014368,3259136,3014368
461,2741097,3782505,2741097
462,2781103,3868973,2781103
463,2842938,3942088,2842938
464,2826327,4002562,2826327
465,2751371,3904457,2751371
466,3051847,4352026,3051847
467,3054077,4378628,3054077
468,2604011,3635863,2604011
469,2897855,4094830,2897855
470,2886528,4064694,2886528
471,2604906,4873174,2604906
472,2049435,3594058,2049435
473,2982888,5354845,2982888
474,2963626,5402847,2963626
475,2622367,4644982,2622367
476,3126051,5666585,3126051
477,2917303,5323019,2917303
478,3030866,5630076,3030866
479,2705359,4762441,2705359
480,3089988,5607303,3089988
481,5069900,5115444,5069900
482,4781322,4821758,4781322
483,4922221,4962833,4922221
484,4925934,4978852,4925934
485,4922455,4973566,4922455
486,4954980,5001063,4954980
487,4902041,4943424,4902041
488,4757205,4826024,4757205
489,4971660,5030772,4971660
490,4958056,5010291,4958056
491,4540743,4709275,4540743
492,4743821,4933319,4743821
493,4674485,4779631,4674485
494,4700380,4748632,4700380
495,4628382,4776982,4628382
496,4283906,4411023,4283906
497,4735102,4808563,4735102
498,4678665,4809475,4678665
499,4677579,4744091,4677579
500,4521213,4574688,4521213
501,3062505,3086999,3062505
502,3175154,3649576,3175154
503,3052534,3423297,3052534
504,3055473,3536658,3055473
505,3054889,3316667,3054889
506,3052924,3258407,3052924
507,3141273,3293248,3141273
508,2993971,3458397,2993971
509,2907663,3372300,2907663
510,3229276,3771686,3229276
511,955078,1883157,955078
512,1329753,2001952,1329753
513,1143841,2191178,1143841
514,1024704,1971105,1024704
515,1177760,1618476,1177760
516,1306509,1505697,1306509
517,1029680,2180447,1029680
518,1155402,1965722,1155402
519,1126295,1953257,1126295
520,1285449,1701407,1285449
521,4955011,5028809,4955011
522,4992604,5068470,4992604
523,4964526,5019222,4964526
524,4943592,5002806,4943592
525,4959161,5012877,4959161
526,4916025,4978060,4916025
527,5003347,5076447,5003347
528,4820893,4888360,4820893
529,5047975,5100828,5047975
530,4956009,4995446,4956009
531,4724886,4877239,4724886
532,4682247,4836363,4682247
533,4805160,5019218,4805160
534,4645215,4803100,4645215
535,4789220,4951915,4789220
536,4711020,4872524,4711020
537,4804149,4951069,4804149
538,4662918,4837568,4662918
539,4698004,4827751,4698004
540,4642316,4821653,4642316
541,3446963,3791825,3446963
542,3313004,3639972,3313004
543,3579895,4180098,3579895
544,3454553,3725527,3454553
545,3547945,4205197,3547945
546,3353759,3786165,3353759
547,3456771,3927278,3456771
548,3476880,3929637,3476880
549,3304892,3782740,3304892
550,3371697,3851712,3371697
551,1794584,2775611,1794584
552,1887240,2772423,1887240
553,1472283,2101192,1472283
554,2068027,3243893,2068027
555,2108882,3150914,2108882
556,1995952,2872655,1995952
557,1884499,2834913,1884499
558,1702830,2220728,1702830
559,1913786,2970252,1913786
560,1900729,2937943,1900729
561,5039884,5128742,5039884
562,5015923,5107058,5015923
563,4990534,5067695,4990534
564,4901057,4982611,4901057
565,4866857,4936512,4866857
566,5025933,5082973,5025933
567,5029643,5120894,5029643
568,5023806,5112342,5023806
569,4988280,5057115,4988280
570,5002223,5080743,5002223
571,4876266,5188418,4876266
572,4908879,5203725,4908879
573,4862903,5062711,4862903
574,4813258,5060444,4813258
575,4796111,5117578,4796111
576,4667442,4878087,4667442
577,4986218,5320638,4986218
578,5073338,5404017,5073338
579,4948235,5214003,4948235
580,4897387,5178528,4897387
581,4059017,5055686,4059017
582,4374752,5813142,4374752
583,4225684,5240229,4225684
584,4007309,5238896,4007309
585,4248779,5613311,4248779
586,3621651,4443804,3621651
587,4173021,5464754,4173021
588,4131609,5250596,4131609
589,3981037,5013902,3981037
590,4229397,5449808,4229397
591,3061316,4740478,3061316
592,3375253,5445623,3375253
593,3436596,5681957,3436596
594,3055383,5085790,3055383
595,3688818,6533357,3688818
596,3785410,6512826,3785410
597,3481694,5875513,3481694
598,2643834,4385110,2643834
599,3321122,5724258,3321122
600,3484114,6181705,3484114
601,4895445,4969256,4895445
602,4951687,5037466,4951687
603,4983359,5059142,4983359
604,4889614,4974361,4889614
605,5078929,5156775,5078929
606,4972247,5052753,4972247
607,4918540,4994945,4918540
608,4888652,4970983,4888652
609,4956328,5010830,4956328
610,5094535,5178536,5094535
611,4941594,5325218,4941594
612,4848132,5277095,4848132
613,5154020,5577217,5154020
614,5038530,5452563,5038530
615,4950252,5383415,4950252
616,5044529,5445044,5044529
617,5014512,5474265,5014512
618,5016025,5451112,5016025
619,4926176,5320133,4926176
620,4820380,5192113,4820380
621,4958030,6971090,4958030
622,5062563,7222729,5062563
623,4880231,6774557,4880231
624,4518187,6323007,4518187
625,4707198,6444577,4707198
626,4943815,6893370,4943815
627,4828127,6682513,4828127
628,5010837,7189713,5010837
629,4876158,6587297,4876158
630,4941070,6972391,4941070
631,5395890,9901766,5395890
632,4861952,8814663,4861952
633,5489716,10071822,5489716
634,5024100,9149093,5024100
635,5114222,9346383,5114222
636,4171105,7351531,4171105
637,4190937,7486406,4190937
638,4471668,7944127,4471668
639,4537348,8169754,4537348
640,4113729,7414655,4113729
