Intance Number,Problem Type (SED / SGD / DGS),VAM,,Unit Penalty Cost Method ,,Modified Unit Penalty Cost Method,,Maximum Penalty Cost,,Maximum per unit penalty cost,,Trans. Cost,,Weighted Trans. Cost,,KSAM,,RAM,,MDM,,SD,,TOCM-MT,Geometric -mean,
,,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,TCM,TOCM,,TCM,TOCM
95,20_5_100_5,965555,965555,965285,964333,965672,929734,965555,965555,990642,956434,929734,929734,929734,929734,1003206,929734,929734,929734,929734,929734,964385,966097,967295,929734,929734
96,20_5_100_6,926215,926015,940762,926931,945508,897340,926215,926015,940762,922968,897340,897340,897340,897340,981797,897340,897340,897340,897340,897340,932863,929862,931847,897340,897340
97,20_5_100_7,958538,958538,973364,964472,959468,931759,958538,958538,973502,957690,931759,931759,931759,931759,1000252,931759,931759,931759,931759,931759,969085,969885,971388,931759,931759
98,20_5_100_8,950369,950369,938641,924110,949016,904567,950369,950369,931315,924110,904567,904567,904567,904567,960819,904567,904567,904567,904567,904567,941025,940264,933186,904567,904567
99,20_5_100_9,919135,919135,928409,899911,919345,873267,919135,919135,928409,901239,873267,873267,873267,873267,946323,873267,873267,873267,873267,873267,895690,922640,900678,873267,873267
100,20_5_100_10,980994,980994,957782,951719,980994,934489,980994,980994,968911,946154,934489,934489,934489,934489,1013236,934489,934489,934489,934489,934489,962888,978967,964596,934489,934489
101,20_5_500_1,764171,700406,570746,567688,770280,566430,766303,655772,570746,567688,566430,566430,566430,566430,853751,566430,566430,566430,566430,566430,749383,692649,781588,566656,566656
102,20_5_500_2,734834,648981,575294,567185,734834,564582,734834,618359,575294,567185,564582,564582,564582,564582,855252,564582,564582,564582,564582,564582,800833,758132,781777,564582,564582
103,20_5_500_3,745690,653662,588045,580061,761079,576152,745690,653662,580061,580061,576152,576152,576152,576152,720463,576152,576152,576152,576152,576152,781421,731673,788352,577032,578352
104,20_5_500_4,782459,732071,625143,610584,779025,606985,782537,736229,622117,614286,606985,606985,606985,606985,872039,606985,606985,606985,606985,606985,807606,756326,838277,606985,606985
105,20_5_500_5,712030,643535,572274,558076,712030,552379,712276,643667,567390,558076,552379,552379,552379,552379,792295,552379,552379,552379,552379,552379,740140,718203,695873,552379,553459
106,20_5_500_6,679481,646323,592085,575778,679481,575778,679481,646323,592085,575778,575778,575778,575778,575778,877259,575778,575778,575778,575778,575778,864718,829552,738195,585095,585821
107,20_5_500_7,764458,691574,612468,604473,795607,602035,713112,691574,609667,602035,602035,602035,602035,602035,780611,602035,602035,602035,602035,602035,759600,774378,741022,602035,603709
108,20_5_500_8,761688,648335,582808,584678,808001,581628,761775,648335,582808,582808,581628,581628,581628,581628,788783,581628,581628,581628,581628,581628,813117,783767,711882,581886,597970
109,20_5_500_9,813223,675417,616330,602981,813223,600337,813223,675417,616330,602981,600337,600337,600337,600337,786821,600337,600337,600337,600337,600337,791955,775927,787297,600337,600337
110,20_5_500_10,747574,672046,590485,582068,755645,576734,748794,672046,590485,582068,576734,576734,576734,576734,752355,576734,576734,576734,576734,576734,770977,724227,739915,576734,580694
111,20_5_1000_1,179388,167549,164102,162991,179388,162991,179388,165125,164102,162991,162991,162991,162991,162991,702086,162991,162991,162991,162991,162991,513217,472644,582926,189977,165271
112,20_5_1000_2,187402,175312,172713,172713,187402,171803,175312,175312,172713,171803,171803,171803,171803,171803,699878,171803,171803,171803,171803,171803,449473,433844,341408,171892,184188
113,20_5_1000_3,199892,194229,194596,186726,199892,186607,192270,194229,191197,186726,186607,186607,186607,186607,668805,186607,186607,186607,186607,186607,412818,436730,491182,194525,203781
114,20_5_1000_4,226838,226838,226838,224188,226838,224188,226838,226838,226838,224188,224188,224188,224188,224188,775524,224188,224188,224188,224188,224188,565394,429987,434898,225660,224188
115,20_5_1000_5,249341,230006,228332,222662,249341,222662,234457,228676,225392,222662,222662,222662,222662,222662,874409,222662,222662,222662,222662,222662,549608,549608,582916,225794,228524
116,20_5_1000_6,371670,351422,329455,324648,371670,324648,371670,351422,329455,324648,324648,324648,324648,324648,804188,324648,324648,324648,324648,324648,634691,594852,635009,328212,324648
117,20_5_1000_7,217136,205811,203305,202704,217136,202601,205811,205708,203305,202704,202601,202601,202601,202601,489529,202601,202601,202601,202601,202601,390277,450039,542370,202601,202601
118,20_5_1000_8,167031,150429,145269,144439,167031,144439,165969,147489,144439,144439,144439,144439,144439,144439,613693,144439,144439,144439,144439,144439,443736,417732,415620,161099,168105
119,20_5_1000_9,207634,181306,176792,176792,207634,176792,197866,181306,176792,176792,176792,176792,176792,176792,693324,176792,176792,176792,176792,176792,380214,322600,496875,180404,180404
120,20_5_1000_10,143704,142040,136535,135677,143704,135677,143704,142040,135677,135677,135677,135677,135677,135677,679875,135677,135677,135677,135677,135677,324914,189650,408886,148171,135677
